Name,Role (within MINT),Site: Public?,Site: id,Site: Section,Site: Sort Order,Site: Role,Site: Discipline,Site: Affiliation,Site: Bio,Site: headshot link,Site: Link 1 Label,Site: Link 1 URL,Site: Link 2 Label,Site: Link 2 URL,Site: Link 3 Label,Site: Link 3 URL
Jake Stone,"Lab Member, PhD Student",Yes,jake-stone,Team,10,PhD Student,"Law, Philosophy",Australian National University,"Jake is a PhD candidate in Philosophy with the Australian National University and a Postdoctoral researcher with the Hasso Plattner Institute. He holds an MSc in data science, a BA (Hons) in philosophy, and a LLB (Hons). His current work focuses on the political economy of data and compute.",,,,,,,
Kira Breithaupt,"Lab Member, PhD Student",Yes,kira-breithaupt,Team,24,PhD Student,Philosophy,??,Kira Breithaupt is a PhD student at the ANU.,,,,,,,
Lena Wang,"Affiliate, PhD Student, Visiting PhD Student",Yes,lena-wang,Team,23,Visiting Student,"Computer science, Philosophy",??,"Lena Wang is a PhD Student in Philosophy at the University of Cambridge, working in the areas of social epistemology, political philosophy, and the philosophy of technology. Currently, her research focuses on examining hierarchies in what counts as knowledge. She has a particular interest in the impact of technological systems on our epistemic practicesâ€”including ML agency as it pertains to conceptual engineering and the effect of this on our decision-making processes. Lena received her MPhil in Philosophy from the University of Cambridge, and a BA in Philosophy/BS in Computer Science and Physics from the University of Sydney.",,,,,,,
Lorenzo Manuali,"Lab Member, PhD Student",Yes,lorenzo-manuali,Team,22,Visiting Student,"Philosophy, Political Science",??,"Lorenzo is a philosopher with interests in the intersection of democratic theory and AI â€“ especially how practitioners are using LLMs to enhance democratic processes (e.g., as deliberative facilitators, as representatives, etc.). He is also interested in how emerging technologies like AI and social media change our motivational processes in ways that (1) facilitate addiction and/or (2) are (not) conducive to democracy.",,,,,,,
Noah Birnbaum,"Affiliate, PhD Student",Yes,noah-birnbaum,Team,17,Visiting Student,"Cognitive science, Philosophy",??,"Noah Birnbaum is a third-year undergraduate at the University of Chicago studying Philosophy and Cognitive Science. His academic interests center on normative and metaethics, formal epistemology, and decision theory. In AI, he focuses on digital sentience, existential takeover risks from misaligned AI, and value-lock-in dynamics arising from AI centralization. He also writes about ethics, epistemology, and AI on his Substack, Irrational Community.",,,,,,,
Shira Gur Arieh,"Affiliate, PhD Student",Yes,shira-gur-arieh,Team,20,Visiting Student,Law,??,"Shira Gur-Arieh is a doctoral candidate at Harvard Law School and a Graduate Student Fellow at the Berkman Klein-Center for Internet & Society. Her research focuses on legitimacy in algorithmic decision-making, with a particular interest in questions that revolve around the gap between model predictions and human decisions. She is also interested in sociotechnical safety, value alignment, and how monoculture manifests in foundation models and its implications on discrimination and exclusion. Before pursuing her doctorate, Shira clerked for the Chief Justice of the Supreme Court of Israel.",,,,,,,
Sichao Li,"Affiliate, Faculty",Yes,sichao-li,Team,14,Visiting Fellow,Computer science,??,"Sichao Li, PhD is a computer scientist with a doctorate from the Australian National University (ANU) and a Fellow of the Higher Education Academy (FHEA). His research focuses on explainable AI (XAI) and large language models (LLMs), with particular interests in explainable agents, LLM safety and interpretability, and the application of AI in scientific discovery. Following his PhD, he worked as a Research Fellow exploring the intersection of AI and neuroscience, using machine learning to uncover patterns of neural connectivity and decision-making mechanisms. His current work also examines how LLMs understand, reason, and align with human thinking, with an emphasis on ethics and trustworthy AI.",,,,,,,
Theo Murray,"Lab Member, PhD Student, Research Assistant",Yes,theo-murray,Team,12,Research Assistant,Philosophy,Australian National University,"Theo is a PhD candidate in Philosophy at the Australian National University, specialising in moral psychology. His doctoral research concerns blame's communicative function, and makes progress on related topics, including blame's epistemic norm, blame's value, and the nature of relationships. This research intersects with existing puzzles in the normative philosophy of computing: how AI agents might be responsible and how they might otherwise fit into our ordinary interpersonal moral practices.",,,,,,,
Aaron Snoswell,"Affiliate, Faculty",Yes,aaron-snoswell,Affiliate,27,,Computer science,,,,,,,,,
Anton Leicht,"Affiliate, Post-doc",Yes,anton-leicht,Affiliate,20,,Philosophy,,,,,,,,,
Beba Cibralic,,Yes,beba-cibralic,Affiliate,7,,"Industry, Philosophy",,,,,,,,,
Bec Johnson,"Affiliate, Post-doc",Yes,bec-johnson,Affiliate,15,,Philosophy,,,,,,,,,
Ben Robinson,"Affiliate, Master's Student",Yes,ben-robinson,Affiliate,24,,Philosophy,,,,,,,,,
David Thorstad,"Affiliate, Faculty",Yes,david-thorstad,Affiliate,30,,Philosophy,,,,,,,,,
Elsa Kugelberg,"Affiliate, Faculty",Yes,elsa-kugelberg,Affiliate,18,,Philosophy,,,,,,,,,
Henrik Kugelberg,,Yes,henrik-kugelberg,Affiliate,19,,Philosophy,,,,,,,,,
Iason Gabriel,,Yes,iason-gabriel,Affiliate,13,,"Computer science, Philosophy",,,,,,,,,
Jacqueline Harding,,Yes,jacqueline-harding,Affiliate,14,,Philosophy,,,,,,,,,
Jen Semler,"Affiliate, Post-doc",Yes,jen-semler,Affiliate,26,,Philosophy,,,,,,,,,
Kangyu (KY) Wang,,Yes,kangyu-ky-wang,Affiliate,31,,Philosophy,,,,,,,,,
Kimberlee Weatherall,,Yes,kimberlee-weatherall,Affiliate,32,,Law,,,,,,,,,
Lo Vanel,"Affiliate, Post-doc",No,NOTE: not in site,,,,,,,,,,,,,
Leon Staufer,Affiliate,Yes,leon-staufer,Affiliate,35,,,,,,,,,,,
Luise Mueller,"Affiliate, Faculty",Yes,luise-mueller,Affiliate,21,,Philosophy,,,,,,,,,
Luke Thorburn,"Affiliate, Post-doc",Yes,luke-thorburn,Affiliate,29,,Computer science,,,,,,,,,
Matt Boulos,,Yes,matt-boulos,Affiliate,4,,Law,,,,,,,,,
Michael Barnes,Affiliate,Yes,michael-barnes,Affiliate,2,,Philosophy,,,,,,,,,
Michael Timothy Bennett,"Affiliate, Post-doc",Yes,michael-timothy-bennett,Affiliate,3,,Computer science,,,,,,,,,
Ned Cooper,"Affiliate, Post-doc",Yes,ned-cooper,Affiliate,8,,STS,,Research Fellow at MINT Lab. His research addresses philosophical questions about the normative dimensions of AI systems.,,,,,,,
Nick Schuster,Alumni,Yes,nick-schuster,Affiliate,25,,Philosophy,,,,,,,,,
Ninell Oldenburg,"Affiliate, Post-doc",Yes,ninell-oldenburg,Affiliate,22,,Philosophy,,,,,,,,,
Noam Kolt,"Affiliate, Faculty",Yes,noam-kolt,Affiliate,17,,Law,,,,,,,,,
Paul de Font-Reaulx,,Yes,paul-de-font-reaulx,Affiliate,9,,Philosophy,,,,,,,,,
Roberta Fischli,"Affiliate, Post-doc",Yes,roberta-fischli,Affiliate,12,,Philosophy,,,,,,,,,
Sayash Kapoor,"Affiliate, Post-doc",Yes,sayash-kapoor,Affiliate,16,,Computer science,,,,,,,,,
Sean Donahue,Alumni,Yes,sean-donahue,Affiliate,10,,Philosophy,,,,,,,,,
Simon Taylor,"Affiliate, Post-doc",Yes,simon-taylor,Affiliate,28,,STS,,,,,,,,,
Sina Fazelpour,"Affiliate, Faculty",Yes,sina-fazelpour,Affiliate,11,,Philosophy,,,,,,,,,
Sophia Wushanley,"Affiliate, PhD Student",Yes,sophia-wushanley,Affiliate,36,,,,,,,,,,,
Syed AbuMusab,"Affiliate, Faculty",Yes,syed-abumusab,Affiliate,1,,Philosophy,,,,,,,,,
Tiberio Caetano,,Yes,tiberio-caetano,Affiliate,6,,Computer science,,,,,,,,,
Tiziano Piccardi,"Affiliate, Affiliate Faculty",Yes,tiziano-piccardi,Affiliate,23,,Computer science,,,,,,,,,
Xinyue Xu,,Yes,xinyue-xu,Affiliate,34,,Computer science,,,,,,,,,
Zhihe (Vincent) Zhang,"Affiliate, PhD Student",Yes,zhihe-vincent-zhang,Affiliate,37,,Philosophy,,,,,,,,,
Aleks Hammo,Alumni,Yes,aleks-hammo,Alumni,10,,Philosophy,,,,,,,,,
Antonio Esposito,,Yes,antonio-esposito,Alumni,7,,Philosophy,,,,,,,,,
Cedric Whitney,,Yes,cedric-whitney,Alumni,29,,Information Science,,,,,,,,,
Charles Wan,,Yes,charles-wan,Alumni,28,,Computer science,,,,,,,,,
Christine Balasa,,Yes,christine-balasa,Alumni,1,,Philosophy,,,,,,,,,
Claire Benn,Alumni,Yes,claire-benn,Alumni,3,,Philosophy,,,,,,,,,
Corey McCabe,,Yes,corey-mccabe,Alumni,17,,Philosophy,,,,,,,,,
Damian Clifford,,Yes,damian-clifford,Alumni,5,,Law,,,,,,,,,
Ehsan Nabavi,,Yes,ehsan-nabavi,Alumni,20,,Cybernetics,,,,,,,,,
Emily Leijer,Alumni,Yes,emily-leijer,Alumni,15,,Philosophy,,,,,,,,,
Fei Song,,Yes,fei-song,Alumni,26,,Philosophy,,,,,,,,,
Giada Pistilli,,Yes,giada-pistilli,Alumni,23,,"Industry, Philosophy",,,,,,,,,
Glen Berman,,Yes,glen-berman,Alumni,4,,Computer science,,,,,,,,,
Harrison Munday,,Yes,harrison-munday,Alumni,19,,Philosophy,,,,,,,,,
J. Dimitri Gallow,,Yes,j-dimitri-gallow,Alumni,9,,Philosophy,,,,,,,,,
James Leib,,Yes,james-leib,Alumni,14,,Philosophy,,,,,,,,,
Jenny Judge,,Yes,jenny-judge,Alumni,12,,Philosophy,,,,,,,,,
Jessie He,,Yes,jessie-he,Alumni,11,,Philosophy,,,,,,,,,
Kristina Vaia,,Yes,kristina-vaia,Alumni,27,,Policy,,,,,,,,,
Luca Belli,,Yes,luca-belli,Alumni,2,,"Computer science, Industry",,,,,,,,,
Max Fedoseev,,Yes,max-fedoseev,Alumni,8,,Philosophy,,,,,,,,,
N. G. Laskowski,"Affiliate, Faculty",Yes,n-g-laskowski,Alumni,13,,Philosophy,,,,,,,,,
Olivia Shen,Alumni,Yes,olivia-shen,Alumni,25,,Policy,,,,,,,,,
Pamela Robinson,Alumni,Yes,pamela-robinson,Alumni,24,,Philosophy,,,,,,,,,
Rhiannon Nielsen,,Yes,rhiannon-nielsen,Alumni,21,,International Relations,,,,,,,,,
Sadhika Malladi,,Yes,sadhika-malladi,Alumni,16,,Computer science,,,,,,,,,
Shang Long Yeo,Alumni,Yes,shang-long-yeo,Alumni,30,,Philosophy,,,,,,,,,
Silvia Milano,,Yes,silvia-milano,Alumni,18,,Philosophy,,,,,,,,,
William D'Alessandro,Alumni,Yes,william-dalessandro,Alumni,6,,Philosophy,,,,,,,,,
Vincent Abruzzo,Affiliate,Yes,vincent-abruzzo,Affiliate,33,,,,,,,,,,,
